fecha_utc,hora_utc,fecha_local,hora_local,tipo_evento,descripcion,elevacion,azimut,planeta1,planeta2,posicion1,posicion2,tipo_aspecto,orbe,es_aplicativo,harmony,signo,grado,posicion
2024-01-01,13:26,2024-01-01,10:26,Aspecto,Venus en Cuadratura con Saturno,,,Venus,Saturno,3°17' Sagitario,3°17' Piscis,Cuadratura,0.00°,No,Tensión,,,
2024-01-02,02:37,2024-01-01,23:37,Fin Retrogradación,Mercurio termina retrogradación en 22°10' Sagitario,,,,,,,,,,,,,
2024-01-03,00:46,2024-01-02,21:46,Ingreso a Signo,Luna ingresa a 0.00° de Libra (Directo),,,,,,,,,,,,,
2024-01-04,14:58,2024-01-04,11:58,Ingreso a Signo,Marte ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2024-01-05,12:39,2024-01-05,09:39,Ingreso a Signo,Luna ingresa a 0.00° de Escorpio (Directo),,,,,,,,,,,,,
2024-01-07,21:08,2024-01-07,18:08,Ingreso a Signo,Luna ingresa a 0.00° de Sagitario (Directo),,,,,,,,,,,,,
2024-01-09,01:24,2024-01-08,22:24,Aspecto,Mercurio en Cuadratura con Neptuno,,,Mercurio,Neptuno,25°12' Sagitario,25°12' Piscis,Cuadratura,0.00°,No,Tensión,,,
2024-01-10,00:07,2024-01-09,21:07,Aspecto,Sol en Trígono con Urano,,,Sol,Urano,19°13' Capricornio,19°13' Tauro,Trígono,0.00°,No,Armónico,,,
2024-01-10,01:33,2024-01-09,22:33,Ingreso a Signo,Luna ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2024-01-10,02:39,2024-01-09,23:39,Aspecto,Marte en Sextil con Saturno,,,Marte,Saturno,4°05' Capricornio,4°05' Piscis,Sextil,0.00°,No,Armónico,,,
2024-01-11,11:57,2024-01-11,08:57,Luna Nueva,Luna nueva en Capricornio 20.74°,35.6°,93.6°,,,,,,,,,Capricornio,20.74°,20°44' Capricornio
2024-01-12,03:01,2024-01-12,00:01,Ingreso a Signo,Luna ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2024-01-12,10:41,2024-01-12,07:41,Aspecto,Marte en Trígono con Júpiter,,,Marte,Júpiter,5°50' Capricornio,5°50' Tauro,Trígono,0.00°,No,Armónico,,,
2024-01-14,02:49,2024-01-13,23:49,Ingreso a Signo,Mercurio ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2024-01-14,03:29,2024-01-14,00:29,Ingreso a Signo,Luna ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2024-01-16,00:37,2024-01-15,21:37,Aspecto,Sol en Sextil con Neptuno,,,Sol,Neptuno,25°21' Capricornio,25°21' Piscis,Sextil,0.00°,No,Armónico,,,
2024-01-16,04:48,2024-01-16,01:48,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2024-01-18,08:11,2024-01-18,05:11,Ingreso a Signo,Luna ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
2024-01-18,08:49,2024-01-18,05:49,Aspecto,Mercurio en Sextil con Saturno,,,Mercurio,Saturno,4°56' Capricornio,4°56' Piscis,Sextil,0.00°,No,Armónico,,,
2024-01-19,09:30,2024-01-19,06:30,Aspecto,Mercurio en Trígono con Júpiter,,,Mercurio,Júpiter,6°13' Capricornio,6°13' Tauro,Trígono,0.00°,No,Armónico,,,
2024-01-19,15:48,2024-01-19,12:48,Aspecto,Venus en Cuadratura con Neptuno,,,Venus,Neptuno,25°26' Sagitario,25°26' Piscis,Cuadratura,0.00°,No,Tensión,,,
2024-01-20,13:45,2024-01-20,10:45,Aspecto,Sol en Conjunción con Plutón,,,Sol,Plutón,29°59' Capricornio,29°59' Capricornio,Conjunción,0.00°,No,Neutro,,,
2024-01-20,13:57,2024-01-20,10:57,Ingreso a Signo,Luna ingresa a 0.00° de Géminis (Directo),,,,,,,,,,,,,
2024-01-20,14:07,2024-01-20,11:07,Ingreso a Signo,Sol ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2024-01-21,00:56,2024-01-20,21:56,Ingreso a Signo,Plutón ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2024-01-22,21:50,2024-01-22,18:50,Ingreso a Signo,Luna ingresa a 0.00° de Cáncer (Directo),,,,,,,,,,,,,
2024-01-23,08:50,2024-01-23,05:50,Ingreso a Signo,Venus ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2024-01-25,07:36,2024-01-25,04:36,Ingreso a Signo,Luna ingresa a 0.00° de Leo (Directo),,,,,,,,,,,,,
2024-01-25,17:53,2024-01-25,14:53,Luna Llena,Luna llena en Leo 5.25°,-65.5°,109.3°,,,,,,,,,Leo,5.25°,5°14' Leo
2024-01-27,07:18,2024-01-27,04:18,Aspecto,Sol en Cuadratura con Júpiter,,,Sol,Júpiter,6°49' Acuario,6°49' Tauro,Cuadratura,0.00°,No,Tensión,,,
2024-01-27,07:30,2024-01-27,04:30,Fin Retrogradación,Urano termina retrogradación en 19°05' Tauro,,,,,,,,,,,,,
2024-01-27,14:58,2024-01-27,11:58,Aspecto,Mercurio en Conjunción con Marte,,,Mercurio,Marte,17°17' Capricornio,17°17' Capricornio,Conjunción,0.00°,No,Neutro,,,
2024-01-27,19:11,2024-01-27,16:11,Ingreso a Signo,Luna ingresa a 0.00° de Virgo (Directo),,,,,,,,,,,,,
2024-01-28,06:03,2024-01-28,03:03,Aspecto,Venus en Sextil con Saturno,,,Venus,Saturno,6°00' Capricornio,6°00' Piscis,Sextil,0.00°,No,Armónico,,,
2024-01-28,21:06,2024-01-28,18:06,Aspecto,Mercurio en Trígono con Urano,,,Mercurio,Urano,19°05' Capricornio,19°05' Tauro,Trígono,0.00°,No,Armónico,,,
2024-01-29,01:01,2024-01-28,22:01,Aspecto,Venus en Trígono con Júpiter,,,Venus,Júpiter,6°59' Capricornio,6°59' Tauro,Trígono,0.00°,No,Armónico,,,
2024-01-29,23:40,2024-01-29,20:40,Aspecto,Marte en Trígono con Urano,,,Marte,Urano,19°05' Capricornio,19°05' Tauro,Trígono,0.00°,No,Armónico,,,
2024-01-30,08:04,2024-01-30,05:04,Ingreso a Signo,Luna ingresa a 0.00° de Libra (Directo),,,,,,,,,,,,,
2024-02-01,20:36,2024-02-01,17:36,Ingreso a Signo,Luna ingresa a 0.00° de Escorpio (Directo),,,,,,,,,,,,,
2024-02-02,10:54,2024-02-02,07:54,Aspecto,Mercurio en Sextil con Neptuno,,,Mercurio,Neptuno,25°48' Capricornio,25°48' Piscis,Sextil,0.00°,No,Armónico,,,
2024-02-04,06:28,2024-02-04,03:28,Ingreso a Signo,Luna ingresa a 0.00° de Sagitario (Directo),,,,,,,,,,,,,
2024-02-05,05:10,2024-02-05,02:10,Ingreso a Signo,Mercurio ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2024-02-05,12:57,2024-02-05,09:57,Aspecto,Mercurio en Conjunción con Plutón,,,Mercurio,Plutón,0°29' Acuario,0°29' Acuario,Conjunción,0.00°,No,Neutro,,,
2024-02-06,12:08,2024-02-06,09:08,Ingreso a Signo,Luna ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2024-02-07,21:25,2024-02-07,18:25,Aspecto,Venus en Trígono con Urano,,,Venus,Urano,19°08' Capricornio,19°08' Tauro,Trígono,0.00°,No,Armónico,,,
2024-02-08,00:20,2024-02-07,21:20,Aspecto,Marte en Sextil con Neptuno,,,Marte,Neptuno,25°58' Capricornio,25°58' Piscis,Sextil,0.00°,No,Armónico,,,
2024-02-08,10:45,2024-02-08,07:45,Aspecto,Sol en Cuadratura con Urano,,,Sol,Urano,19°09' Acuario,19°09' Tauro,Cuadratura,0.00°,No,Tensión,,,
2024-02-08,13:59,2024-02-08,10:59,Ingreso a Signo,Luna ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2024-02-09,22:59,2024-02-09,19:59,Luna Nueva,Luna nueva en Acuario 20.68°,-1.0°,250.8°,,,,,,,,,Acuario,20.68°,20°40' Acuario
2024-02-10,13:25,2024-02-10,10:25,Aspecto,Mercurio en Cuadratura con Júpiter,,,Mercurio,Júpiter,8°23' Acuario,8°23' Tauro,Cuadratura,0.00°,No,Tensión,,,
2024-02-10,13:42,2024-02-10,10:42,Ingreso a Signo,Luna ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2024-02-12,13:25,2024-02-12,10:25,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2024-02-13,06:05,2024-02-13,03:05,Ingreso a Signo,Marte ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2024-02-13,13:36,2024-02-13,10:36,Aspecto,Venus en Sextil con Neptuno,,,Venus,Neptuno,26°09' Capricornio,26°09' Piscis,Sextil,0.00°,No,Armónico,,,
2024-02-14,06:05,2024-02-14,03:05,Aspecto,Marte en Conjunción con Plutón,,,Marte,Plutón,0°46' Acuario,0°46' Acuario,Conjunción,0.00°,No,Neutro,,,
